exp,parameter,value
ecol,Y_XCom_SGlucose,49.748806422454
ecol,Y_XCom_SGlucose,74.9703745900225
ecol,Y_XCom_SGlucose,65.3306083847968
ecol,Y_XCom_SGlucose,0.815347020859217
ecol,Y_XCom_SGlucose,74.4399586533095
ecol,Y_XCom_SGlucose,59.6711267494689
ecol,Y_XCom_SGlucose,38.194075900536
ecol,Y_XCom_SGlucose,65.3306083847968
ecol,Y_XCom_SGlucose,18.8754965188753
ecol,Y_XCom_SGlucose,75
ecol,Y_XCom_SGlucose,65.3306083847968
ecol,Y_XCom_SGlucose,10.5584091675488
ecol,Y_XCom_SGlucose,74.9316872905615
ecol,Y_XCom_SGlucose,42.4209465638967
ecol,Y_XCom_SGlucose,74.9999990175094
ecol,Y_XCom_SGlucose,63.6539443009067
ecol,Y_XCom_SGlucose,52.9454854787962
ecol,Y_XCom_SGlucose,71.0415334226789
ecol,Y_XCom_SGlucose,68.9016911384941
ecol,Y_XCom_SGlucose,23.1721805974143
ecol,k1,0.0173260140449215
ecol,k1,0.0138839969140935
ecol,k1,0.0131312103082483
ecol,k1,0.0128841654611079
ecol,k1,0.0129919183691151
ecol,k1,0.0127521426087984
ecol,k1,0.0133349860038994
ecol,k1,0.0131312103082483
ecol,k1,0.0141341442844079
ecol,k1,0.0164879902470627
ecol,k1,0.0131312103082483
ecol,k1,0.0118069538354073
ecol,k1,0.0141313096055137
ecol,k1,0.0158276338757486
ecol,k1,0.0154716631790637
ecol,k1,0.0134392531130311
ecol,k1,0.0143824514537975
ecol,k1,0.014642120412804
ecol,k1,0.0138348861230145
ecol,k1,0.0124181357598209
ecol,k2,0.0196430867476509
ecol,k2,0.0203285338501873
ecol,k2,0.0200276090443793
ecol,k2,0.0189727398017205
ecol,k2,0.0195410289534148
ecol,k2,0.0203467007921466
ecol,k2,0.0201875189523167
ecol,k2,0.0200276090443793
ecol,k2,0.0203415233553765
ecol,k2,0.0201985563326992
ecol,k2,0.0200276090443793
ecol,k2,0.0197493622930368
ecol,k2,0.0202654100178072
ecol,k2,0.021101896750706
ecol,k2,0.0204130383994877
ecol,k2,0.0202115583073782
ecol,k2,0.0195688740787251
ecol,k2,0.0100978574403247
ecol,k2,0.0203681659487934
ecol,k2,0.0202955294571697
ecol,k3,52.1754721340895
ecol,k3,0.268221126229889
ecol,k3,0.29682948704658
ecol,k3,63.399332662917
ecol,k3,0.292737903014358
ecol,k3,0.297470894575875
ecol,k3,0.297279758585632
ecol,k3,0.29682948704658
ecol,k3,0.297968286107544
ecol,k3,0.303473237885408
ecol,k3,0.29682948704658
ecol,k3,0.29293287596832
ecol,k3,0.297601929134267
ecol,k3,56.7934505229657
ecol,k3,0.271798288378527
ecol,k3,0.296820334481673
ecol,k3,0.289475676527934
ecol,k3,0.296552826856598
ecol,k3,0.297407865579099
ecol,k3,0.296167105975925
ecol,k4,57.4394469890143
ecol,k4,74.7346017476661
ecol,k4,0.0103442790617102
ecol,k4,0.0460253838446074
ecol,k4,0.00782366733816029
ecol,k4,0.0106326197920212
ecol,k4,0.0112622570941185
ecol,k4,0.0103442790617102
ecol,k4,0.0140324027921853
ecol,k4,0.0200683952159679
ecol,k4,0.0103442790617102
ecol,k4,0.00536195927305186
ecol,k4,0.0135760416819123
ecol,k4,0.0580374335288976
ecol,k4,74.954230213285
ecol,k4,0.0115678329464581
ecol,k4,0.0102082922449962
ecol,k4,1e-05
ecol,k4,0.012961903279199
ecol,k4,0.00871505887819778
ecol,Y_XCom_SLNT,0.508233313149904
ecol,Y_XCom_SLNT,0.538825247019948
ecol,Y_XCom_SLNT,0.543789043366423
ecol,Y_XCom_SLNT,0.550767699920555
ecol,Y_XCom_SLNT,0.509779618806335
ecol,Y_XCom_SLNT,0.499099100467546
ecol,Y_XCom_SLNT,0.543444876784026
ecol,Y_XCom_SLNT,0.528871610327251
ecol,Y_XCom_SLNT,0.549509737364092
ecol,Y_XCom_SLNT,0.511362708232548
ecol,Y_XCom_S2FL,0.545665644469463
ecol,Y_XCom_S2FL,0.615228195348174
ecol,Y_XCom_S2FL,0.597293142511001
ecol,Y_XCom_S2FL,0.650879760618494
ecol,Y_XCom_S2FL,0.536459584124366
ecol,Y_XCom_S2FL,0.532963697650455
ecol,Y_XCom_S2FL,0.62518399919913
ecol,Y_XCom_S2FL,0.608989201805496
ecol,Y_XCom_S2FL,0.653882861882656
ecol,Y_XCom_S2FL,0.594525823892784
ecol,Y_XCom_3SL,75
ecol,Y_XCom_3SL,75
ecol,Y_XCom_3SL,74.9255251577683
