exp,parameter,value
bbif,k3,19.1997328531919
bbif,k3,0.0704048410312264
bbif,k3,0.0702591406778468
bbif,k3,0.0573506363025
bbif,k3,0.0703752230968623
bbif,k3,0.0703616175251487
bbif,k3,0.0702843402112064
bbif,k3,0.070061150142707
bbif,k3,0.0703277336468066
bbif,k3,0.0705657819791634
bbif,k3,0.069958885831005
bbif,k3,0.0555218063863509
bbif,k3,74.9999947270968
bbif,k3,0.0704206221107304
bbif,k3,0.0702591406778468
bbif,k3,74.9999947270968
bbif,k3,74.9999947270968
bbif,k3,0.0704048410312264
bbif,k3,0.0705994938927426
bbif,k3,0.0561319913225427
bbif,k4,4.49561410911103
bbif,k4,0.480202926649306
bbif,k4,0.482780066412269
bbif,k4,0.329938343541849
bbif,k4,0.483306172171572
bbif,k4,0.48444584394369
bbif,k4,0.482624066775591
bbif,k4,0.482062927116477
bbif,k4,0.479631304930459
bbif,k4,0.481864305388197
bbif,k4,0.483494987449189
bbif,k4,60.5247970791478
bbif,k4,4.00408730919852
bbif,k4,0.492329316403127
bbif,k4,0.482780066412269
bbif,k4,4.00408730919852
bbif,k4,4.00408730919852
bbif,k4,0.480202926649306
bbif,k4,0.479752816956308
bbif,k4,0.307271517164972
bbif,Y_XCom_SLNT,0.199656211856071
bbif,Y_XCom_SLNT,0.167872770000367
bbif,Y_XCom_SLNT,0.193555944328519
bbif,Y_XCom_SLNT,0.239475543722612
bbif,Y_XCom_SLNT,0.193555944328519
bbif,Y_XCom_SLNT,0.221903589512745
bbif,Y_XCom_SLNT,0.21752127938523
bbif,Y_XCom_SLNT,0.221903589512745
bbif,Y_XCom_SLNT,0.295834183683237
bbif,Y_XCom_SLNT,0.36172503851984
bbif,Y_XCom_S2FL,0.554243341302185
bbif,Y_XCom_S2FL,0.588247749979628
bbif,Y_XCom_S2FL,0.672538335022818
bbif,Y_XCom_S2FL,0.601520707069535
bbif,Y_XCom_S2FL,0.672538335022818
bbif,Y_XCom_S2FL,0.603783971889292
bbif,Y_XCom_S2FL,0.537561856514549
bbif,Y_XCom_S2FL,0.603783971889292
bbif,Y_XCom_S2FL,0.643214271446233
bbif,Y_XCom_S2FL,0.586557382859309
bbif,Y_XCom_3SL,0.801249837375136
bbif,Y_XCom_3SL,0.86037139731894
bbif,Y_XCom_3SL,0.992678772933221
bbif,Y_XCom_3SL,0.932491076651808
bbif,Y_XCom_3SL,0.992678772933221
bbif,Y_XCom_3SL,0.930038871267374
bbif,Y_XCom_3SL,0.895241730317712
bbif,Y_XCom_3SL,0.930038871267374
bbif,Y_XCom_3SL,0.973563814168358
bbif,Y_XCom_3SL,0.945653059362374
bbif,Y_XCom_SLactose,0.42246485045762
bbif,Y_XCom_SLactose,1.12092432583922
bbif,Y_XCom_SLactose,1.04666480249706
bbif,Y_XCom_SLactose,0.419879472202602
bbif,Y_XCom_SLactose,1.04666480249706
bbif,Y_XCom_SLactose,0.498919128170741
bbif,Y_XCom_SLactose,0.422423552018463
bbif,Y_XCom_SLactose,0.498919128170741
bbif,Y_XCom_SLactose,0.340247764604359
bbif,Y_XCom_SLactose,0.258307895713407
bbif,Y_XCom_SNeu5Ac,44.3264458679286
bbif,Y_XCom_SNeu5Ac,32.324746628002
bbif,Y_XCom_SNeu5Ac,8.95882884312653
bbif,Y_XCom_SNeu5Ac,11.9505355194686
bbif,Y_XCom_SNeu5Ac,8.95882884312653
bbif,Y_XCom_SNeu5Ac,13.3063279713104
bbif,Y_XCom_SNeu5Ac,17.5109310085557
bbif,Y_XCom_SNeu5Ac,13.3063279713104
bbif,Y_XCom_SNeu5Ac,10.4988015337336
bbif,Y_XCom_SNeu5Ac,11.6982900321581
bbif,Y_XCom_SFucose,0.778043871466028
bbif,Y_XCom_SFucose,0.781258707604984
bbif,Y_XCom_SFucose,0.765976142916749
bbif,Y_XCom_SFucose,0.808580338995183
bbif,Y_XCom_SFucose,0.765976142916749
bbif,Y_XCom_SFucose,0.808195386289647
bbif,Y_XCom_SFucose,0.779348789219669
bbif,Y_XCom_SFucose,0.808195386289647
bbif,Y_XCom_SFucose,0.806163729349003
bbif,Y_XCom_SFucose,0.827120927169368
bbif,k1,0.0417310646580931
bbif,k1,1e-05
bbif,k1,1e-05
bbif,k1,0.0480613944122474
bbif,k1,1e-05
bbif,k1,0.0363479419160129
bbif,k1,0.0456405610172684
bbif,k1,0.0363479419160129
bbif,k1,0.061520117818606
bbif,k1,0.100002197690829
bbif,K_SLNT,64.0694628240957
bbif,K_SLNT,11.6144659070009
bbif,K_SLNT,0.322362670341405
bbif,K_SLNT,65.3741368974227
bbif,K_SLNT,0.322362670341405
bbif,K_SLNT,74.9772346608144
bbif,K_SLNT,75
bbif,K_SLNT,74.9772346608144
bbif,K_SLNT,1e-05
bbif,K_SLNT,1e-05
bbif,K_S2FL,57.8025788248967
bbif,K_S2FL,75
bbif,K_S2FL,75
bbif,K_S2FL,2.42950787821337
bbif,K_S2FL,75
bbif,K_S2FL,1.40483944202472
bbif,K_S2FL,0.0910135082710848
bbif,K_S2FL,1.40483944202472
bbif,K_S2FL,74.9909761514993
bbif,K_S2FL,75
bbif,K_S3SL,1e-05
bbif,K_S3SL,0.0365836409129027
bbif,K_S3SL,0.4932141579801
bbif,K_S3SL,1.04603580249671
bbif,K_S3SL,0.4932141579801
